STATION,NAME,DATE,PRCP,SNOW
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/1/18,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/2/18,0.29,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/3/18,0.21,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/4/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/5/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/6/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/7/18,0.1,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/8/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/10/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/11/18,0.6,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/12/18,0.09,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/13/18,0.13,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/14/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/15/18,0.07,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/16/18,0.03,0
